0.62586,0.46363,0.53483,0.73356,0.53151,0.37082,0.39448,0.57638,2.1624,3.1801,2.7569,2.7866
0.80266,2.3606,1.2373,0.97376,0.76008,1.5274,1.0303,0.80919,3.004,12.447,4.398,3.4894
0.7819,1.0408,0.86478,0.90852,0.70389,0.82178,0.66466,0.74604,3.8607,11.512,3.5079,5.5587
1.1457,5.6943,1.4246,1.6729,0.84188,4.8586,1.2072,1.3554,6.1836,16.017,7.6767,7.2012
0.85841,1.7069,0.99679,0.99398,0.6392,1.3958,0.84761,0.85835,4.0968,7.1646,3.9686,3.3362
0.76631,0.55733,0.70857,0.72828,0.60738,0.53095,0.53211,0.5659,3.396,1.7208,3.8513,3.2954
0.94501,1.1799,1.1383,0.98044,0.66015,0.84427,0.96936,0.71063,5.2496,10.418,3.6438,5.3803
1.4013,2.4487,1.281,1.456,0.85544,1.9844,1.0071,0.9333,10.366,10.579,5.5501,8.9785
0.75599,0.93446,0.8634,0.87616,0.61518,0.74331,0.61667,0.64994,2.577,4.7726,4.3869,4.0935
0.72676,1.2378,1.2847,1.0124,0.6479,1.0204,1.0651,0.82701,2.3713,5.2613,5.0019,4.383
0.76313,0.66234,0.72417,0.76436,0.58231,0.50326,0.4985,0.5286,3.4632,4.6614,4.1353,4.5392
1.1119,1.7893,1.9468,1.4866,0.77232,1.5491,1.6821,1.073,7.6931,10.842,10.519,10.197
0.73993,2.9346,1.7959,0.87321,0.60061,2.2082,1.4369,0.85669,3.2142,9.6995,7.1745,4.194
0.8289,2.5082,1.1991,0.84385,0.74608,1.9249,1.0617,0.76935,3.8168,9.4752,4.1456,2.8116
0.82215,3.2077,2.0199,0.85632,0.63023,2.566,1.5216,0.78262,4.3848,10.121,6.5121,3.0412
1.0007,0.64655,0.76667,0.85245,0.68004,0.45358,0.54651,0.6582,9.3748,4.4129,5.3553,4.7172
