71.01,62.79,57.63,54.28,49.26,39.38,31.02,23.01
83.76,83.15,82.15,80.69,78.34,70.74,61.61,50.6
89.38,94.73,98.43,100.05,102.76,102.25,98.13,89.42
90.86,98.05,103.4,106.44,111.55,115.97,118.09,115.63
90.61,97.38,102.54,105.6,110.65,115.76,119.22,119.17
88.53,93.61,97.37,99.93,103.77,107.74,110.98,112.11
86.98,90.74,93.39,95.41,98.23,100.67,102.8,103.51
86.2,89.28,91.32,93.06,95.28,97.05,98.47,98.88
85.95,88.68,90.34,92.06,93.91,95.35,96.58,96.9
85.52,87.79,89.04,90.61,92.07,92.98,93.68,93.68
85.35,87.47,88.43,90,91.26,91.79,92.22,91.85
85.2,87.1,87.78,89.33,90.31,90.5,90.45,89.65
84.86,86.65,87.04,88.67,89.45,89.3,88.85,87.56
84.63,86.38,86.56,88.35,88.97,88.58,87.78,86.12
84.25,86.07,86.11,88.05,88.62,88.04,86.96,84.98
83.92,85.8,85.7,87.88,88.37,87.59,86.21,83.77
83.57,85.6,85.38,87.85,88.27,87.33,85.6,82.78
82.96,85.28,84.95,87.75,88.15,87.17,85.53,82.69
82.41,84.91,84.51,87.63,88.05,87.01,85.42,82.56
82.05,84.8,84.32,87.71,88.15,87.07,85.4,82.53
81.67,84.63,84.07,87.69,88.14,86.97,85.11,81.98
81.47,84.54,83.93,87.75,88.17,87.02,85.22,82.17
81.37,84.53,83.9,87.89,88.35,87.33,86.04,83.41
81.39,84.59,83.97,87.98,88.49,87.62,86.84,84.85
81.66,84.85,84.22,88.14,88.65,87.87,87.27,85.71
82.2,85.3,84.71,88.39,88.83,88.11,87.51,86.03
82.92,85.79,85.25,88.61,88.97,88.26,87.59,86.12
83.6,86.23,85.7,88.66,88.95,88.24,87.43,85.92
84.82,86.92,86.53,88.83,89,88.3,87.29,85.71
85.41,87.13,86.68,88.59,88.71,87.9,86.9,85.24
86.4,87.6,87.17,88.61,88.61,87.71,86.48,84.75
